489013	|	193050	|	Methylococcaceae	|	family	|	silva:D89279/#5,ncbi:403,worms:570416,gbif:9227,irmng:106116	|		|		|	
38	|	193050	|	Crenotrichaceae	|	family	|	silva:AB240465/#5,ncbi:89377,worms:571122,gbif:8100,irmng:104429	|		|		|	
896753	|	982008	|	Acidithiobacillaceae	|	family	|	silva:M79401/#5,ncbi:225058,worms:570913,gbif:8949,irmng:112939	|		|		|	
896755	|	982008	|	Thermithiobacillaceae	|	family	|	silva:AF023264/#5,ncbi:225059,gbif:4881,irmng:116329	|		|		|	
160603	|	767314	|	Aeromonadaceae	|	family	|	silva:L31915/#5,ncbi:84642,worms:393939,gbif:8950,irmng:105316	|		|		|	
501411	|	767314	|	Succinivibrionaceae	|	family	|	silva:U96412/#5,ncbi:83763,worms:570947,gbif:8951,irmng:106244	|		|		|	
648766	|	193065	|	Xanthomonadaceae	|	family	|	silva:L76222/#5,ncbi:32033,worms:394050,gbif:4899140,gbif:5611,irmng:106620,irmng:116334	|		|		|	
464600	|	193065	|	Nevskiaceae	|	family	|	silva:AB518684/#5,gbif:4897948,irmng:104806	|		|		|	
610384	|	193067	|	Cardiobacteriaceae	|	family	|	silva:M35014/#5,ncbi:868,worms:571089,gbif:8970,irmng:112224	|		|		|	
575774	|	575772	|	Salinisphaeraceae	|	family	|	silva:AB176168/#5,ncbi:742031,worms:570661,gbif:9538,irmng:106389	|		|		|	
312854	|	105442	|	Orbaceae	|	family	|	silva:AB480765/#5,ncbi:1240483	|		|		|	
5580747	|	5575238	|	Arenicellaceae	|	family	|	ncbi:1617891	|		|		|	
7035163	|	7035162	|	Immundisolibacteraceae	|	family	|	ncbi:1934946	|		|		|	
253957	|	1091894	|	Xanthobacteraceae	|	family	|	silva:D11342/#5,ncbi:335928,worms:570973,gbif:4891652,irmng:106451	|		|		|	
158309	|	1091894	|	Rhizobiaceae	|	family	|	silva:D11343/#5,ncbi:82115,worms:414879,gbif:7818,irmng:108794	|		|		|	
810830	|	1091894	|	Bradyrhizobiaceae	|	family	|	silva:D11345/#5,ncbi:41294,worms:570918,gbif:7814,gbif:4306418,irmng:108717,irmng:112162	|		|		|	
828127	|	1091894	|	Brucellaceae	|	family	|	silva:D12786/#5,ncbi:118882,worms:571031,gbif:4725,irmng:106545	|		|		|	
46389	|	1091894	|	Phyllobacteriaceae	|	family	|	silva:D12789/#5,ncbi:69277,worms:393985,worms:567523,gbif:7817,irmng:115270	|		|		|	
139533	|	1091894	|	Methylobacteriaceae	|	family	|	silva:D25305/#5,ncbi:119045,worms:567520,gbif:7816,irmng:114989	|		|		|	
377926	|	1091894	|	Hyphomicrobiaceae	|	family	|	silva:D25311/#5,ncbi:45401,worms:567417,gbif:7815,irmng:106615	|		|		|	
139538	|	1091894	|	Rhodobiaceae	|	family	|	silva:D30790/#5,ncbi:119043,worms:567562,gbif:4727,irmng:115217	|		|		|	
50860	|	1091894	|	Bartonellaceae	|	family	|	silva:L01259/#5,ncbi:772,gbif:7812,irmng:109747	|		|		|	
592899	|	1091894	|	Methylocystaceae	|	family	|	silva:L20844/#5,ncbi:31993,worms:571353,gbif:4726,irmng:114990	|		|		|	
377931	|	1091894	|	Beijerinckiaceae	|	family	|	silva:M59060/#5,ncbi:45404,worms:571009,gbif:7813,irmng:112997	|		|		|	
318334	|	1091894	|	Aurantimonadaceae	|	family	|	silva:U53824/#5,ncbi:255475,worms:565596,gbif:4724,irmng:105506	|		|		|	
7024182	|	1091894	|	Mabikibacteraceae	|	family	|	ncbi:2029878	|		|		|	
7024286	|	1091894	|	Notoacmeibacteraceae	|	family	|	ncbi:2024981	|		|		|	
5580770	|	1091894	|	Roseiarcaceae	|	family	|	ncbi:1643957	|		|		|	
253959	|	800600	|	Erythrobacteraceae	|	family	|	silva:D12699/#5,ncbi:335929,worms:568242,gbif:4901672,irmng:105068	|		|	sibling_higher	|	
810820	|	800600	|	Sphingomonadaceae	|	family	|	silva:D13722/#5,ncbi:41297,worms:393074,gbif:8926,irmng:106180	|	Sphingomonadaceae (family silva:D13722/#5)	|	sibling_higher	|	
810826	|	277145	|	Rhodospirillaceae	|	family	|	silva:D12701/#5,ncbi:41295,worms:392752,gbif:4730,irmng:108795	|		|		|	
551974	|	277145	|	Acetobacteraceae	|	family	|	silva:D30768/#5,ncbi:433,worms:570909,gbif:4728,irmng:106112	|		|		|	
7026535	|	277145	|	Geminicoccaceae	|	family	|	ncbi:2066434	|		|		|	
799500	|	800609	|	Caulobacteraceae	|	family	|	silva:D12785/#5,ncbi:76892,worms:394203,gbif:4723,irmng:106757	|		|		|	
101508	|	800609	|	Hyphomonadaceae	|	family	|	silva:M83807/#5,ncbi:69657,worms:567574,gbif:3237775,irmng:104863	|		|		|	
19981	|	800604	|	Rhodobacteraceae	|	family	|	silva:D14431/#5,ncbi:31989,worms:393084,gbif:4729,irmng:115216	|		|		|	
50817	|	571642	|	Rickettsiaceae	|	family	|	silva:D38623/#5,ncbi:775,gbif:4647,irmng:108796	|		|	sibling_higher	|	
904940	|	571642	|	Anaplasmataceae	|	family	|	silva:L02883/#5,ncbi:942,worms:570970,gbif:4901684,gbif:7819,irmng:104477,irmng:106962	|		|	sibling_higher	|	
79296	|	571642	|	Holosporaceae	|	family	|	silva:U65509/#5,ncbi:44746,worms:571315,gbif:5436,irmng:112518	|		|	sibling_higher	|	
5900983	|	571642	|	Candidatus Paracaedibacteraceae	|	family	|	ncbi:1777752	|		|	sibling_higher	|	
7027030	|	571642	|	Caedimonadaceae	|	family	|	ncbi:2100208	|		|	sibling_higher	|	
7027036	|	571642	|	Candidatus Deianiraeaceae	|	family	|	ncbi:2603433	|		|	sibling_higher	|	
1077610	|	1077608	|	Magnetococcaceae	|	family	|	silva:X61605/#5,ncbi:1191479,worms:743436,gbif:7666835	|		|		|	
7027457	|	5246920	|	Emcibacteraceae	|	family	|	ncbi:2066491	|		|	sibling_higher	|	
354000	|	353998	|	Sneathiellaceae	|	family	|	silva:AB289439/#5,ncbi:510685,worms:568238,gbif:4893855,irmng:106669	|		|		|	
318336	|	318326	|	Parvularculaceae	|	family	|	silva:AF097819/#5,ncbi:255474,worms:565592,gbif:7810,irmng:104915	|		|		|	
5169241	|	84465	|	Kordiimonadaceae	|	family	|	silva:AJ633979/#5,ncbi:1331809,gbif:7811,irmng:104417	|		|		|	
5580761	|	84465	|	Temperatibacteraceae	|	family	|	ncbi:1549128	|		|		|	
7023625	|	7023624	|	Minwuiaceae	|	family	|	ncbi:2493628	|		|		|	
7023621	|	7023620	|	Micropepsaceae	|	family	|	ncbi:1921568	|		|		|	
854063	|	306284	|	Rhodocyclaceae	|	family	|	silva:D14254/#5,ncbi:75787,worms:569933,gbif:8931,irmng:115428	|		|		|	
